REKAP BELANJA DISMA JUNI 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,TANGGAL,NAMA BARANG,QUANTITY,,HARGA TOTAL,HARGA SATUAN,SUPPLIER,PAYMENT,TGL BAYAR,INV,,,,,,,
152,04/06/26,JENGKOL TUA,  2.00 ,Kg," Rp 70,000 "," Rp 35,000 ",,,,,,"  100,000 ",BENSIN TCO,,,,
153,04/06/26,KACANG PANJANG,  7.00 ,Kg," Rp 70,000 "," Rp 10,000 ",,,,,,"  35,000 ",BENSIN MOTOR BAGJA,,,,
154,04/06/26,KEMBANG KOL,  3.00 ,Kg," Rp 75,000 "," Rp 25,000 ",,,,,,"  30,000 ",KULI,,,,
155,04/06/26,KOL PUTIH,  15.00 ,Kg," Rp 120,000 "," Rp 8,000 ",,,,,,"  28,000 ",PARKIR,,,,
156,04/06/26,LEMON LOKAL CALIFORNIA,  6.50 ,Kg," Rp 165,000 "," Rp 25,385 ",,,,,,,,,,,
157,04/06/26,NANAS SUNPRIDE HONI,  1.00 ,Pcs," Rp 32,000 "," Rp 32,000 ",,,,,"  7,500,000 ","  8,199,000 ","  -699,000 ",UANG BAGJA√  ,,,
158,04/06/26,NANGKA MENTAH SAYUR,  20.00 ,Kg," Rp 200,000 "," Rp 10,000 ",,,,,,,,,,,
159,04/06/26,PARE HIJAU,  2.00 ,Kg," Rp 28,000 "," Rp 14,000 ",,,,,,,,,,,
160,04/06/26,PETAI BESAR,  30.00 ,Pcs," Rp 210,000 "," Rp 7,000 ",,,,,RIFAI,"  100,000 ",BENSIN,,,,
161,04/06/26,SEREH ,  1.00 ,Kg," Rp 20,000 "," Rp 20,000 ",,,,,,"  102,000 ",E-TOLL,,,,
162,04/06/26,TERONG UNGU,  3.00 ,Kg," Rp 30,000 "," Rp 10,000 ",,,,,,"  52,000 ",E-TOLL,,,,
163,04/06/26,TOMAT HIJAU,  1.00 ,Kg," Rp 10,000 "," Rp 10,000 ",,,,,,,,,,,
164,04/06/26,TOMAT MERAH,  9.00 ,Kg," Rp 117,000 "," Rp 13,000 ",,,,,"202,000 DARI BAGJA",,,,,,
165,04/06/26,WORTEL BERASTAGI,  3.00 ,Kg," Rp 45,000 "," Rp 15,000 ",,,,,"52,000 TRF KANTOR",,,,,,
166,04/06/26,PAKCOY,  1.00 ,Kg," Rp 10,000 "," Rp 10,000 ",,,,,"  254,000 ","  254,000 ",  - ,,,,
167,04/06/26,DAUN BAWANG,  4.50 ,Kg," Rp 70,000 "," Rp 15,556 ",,,,,,,,,,,
168,04/06/26,CABAI RAWIT MERAH,  0.50 ,Kg," Rp 40,000 "," Rp 80,000 ",,,,,,,,,,,
169,04/06/26,BIJI WIJEN PUTIH,  0.25 ,Kg," Rp 13,000 "," Rp 52,000 ",,,,,,,,,,,
170,04/06/26,KECAP IKAN ROYAL GOLD @725ML,  1.00 ,Btl," Rp 45,000 "," Rp 45,000 ",,,,,PAK IFAN,"  100,000 ",BENSIN,,,,
171,04/06/26,DAUN BAWANG,  4.00 ,Kg," Rp 60,000 "," Rp 15,000 ",,,,,,"  102,000 ",E-TOLL,,,,
172,04/06/26,JAHE PUTIH,  0.50 ,Kg," Rp 20,000 "," Rp 40,000 ",,,,,,,,,,,
173,04/06/26,BAKING POWDER @45GR KOEPOE2,  12.00 ,Btl," Rp 80,000 "," Rp 6,667 ",TOKO ERNI,BAGJA CASH,,,"  202,000 ","  202,000 ",  - ,,,,
174,04/06/26,BAWANG PUTIH KUPAS ,  107.00 ,Kg," Rp 3,210,000 "," Rp 30,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
175,04/06/26,CABAI MERAH KERING BESAR,  0.10 ,Kg," Rp 9,000 "," Rp 90,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
176,04/06/26,CUKA DIXIE @650ML,  1.00 ,Btl," Rp 17,000 "," Rp 17,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
177,04/06/26,GARAM KASAR ISI 10 PACK ,  1.00 ,Pack," Rp 55,000 "," Rp 55,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
178,04/06/26,GARAM REFINA @500GR,  160.00 ,Pack," Rp 1,040,000 "," Rp 6,500 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
179,04/06/26,GULAKU @1 KG,  24.00 ,Pack," Rp 470,000 "," Rp 19,583 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
180,04/06/26,LADA HITAM BUBUK @250GR,  2.00 ,Pack," Rp 50,000 "," Rp 25,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
181,04/06/26,LADA PUTIH HALUS @250GR,  12.00 ,Pack," Rp 300,000 "," Rp 25,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
182,04/06/26,ROYCO SAPI @1 KG,  1.00 ,Pack," Rp 42,000 "," Rp 42,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
183,04/06/26,SASA MSG @1KG,  2.00 ,Pack," Rp 94,000 "," Rp 47,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
184,04/06/26,SAGU TANI CAP PAK TANI @500GR,  20.00 ,Pack," Rp 175,000 "," Rp 8,750 ",TOKO OMO,BAGJA CASH,,,,,,,,,
185,04/06/26,TEPUNG DRAGONFLY @1KG,  25.00 ,Pack," Rp 175,000 "," Rp 7,000 ",TOKO OMO,BAGJA CASH,,,,,,,,,
186,04/06/26,KENTANG DIENG AL (1-4 PCS) ,  15.00 ,Kg," Rp 270,000 "," Rp 18,000 ",SUMINTO,TRANSFER,,,,,,,,,
187,04/06/26,BAWANG MERAH KUPAS,  113.00 ,Kg," Rp 6,215,000 "," Rp 55,000 ",KEVIN,TRANSFER,06-Jun,,,,,,,,
188,04/06/26,DAUN BAWANG,  97.00 ,Kg," Rp 1,212,500 "," Rp 12,500 ",AA DADI,TRANSFER,05-Jun,,  3 ,,,,,,
189,04/06/26,CABAI MERAH KERITING PETIK ,  125.00 ,Kg," Rp 6,875,000 "," Rp 55,000 ",PESEK,TRANSFER,09-Jun,,,,,,,,
190,04/06/26,CABAI HIJAU BESAR,  20.00 ,Kg," Rp 600,000 "," Rp 30,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
191,04/06/26,CABAI MERAH BESAR,  10.00 ,Kg," Rp 850,000 "," Rp 85,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
192,04/06/26,CABAI MERAH KERITING PETIK ,  7.00 ,Kg," Rp 525,000 "," Rp 75,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
193,04/06/26,CABAI RAWIT MERAH,  2.00 ,Kg," Rp 170,000 "," Rp 85,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
194,04/06/26,JAMUR CHAMPIGNON,  10.00 ,Kg," Rp 360,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,04-Jun,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,
195,05/06/26,BABY PAKCOY,  5.00 ,Kg," Rp 50,000 "," Rp 10,000 ",,,,,BAGJA,"  970,000 ",PASAR,,,,
196,05/06/26,BONELESS PAHA AYAM NO SKIN,  3.00 ,Kg," Rp 145,000 "," Rp 48,333 ",,,,,,"  432,000 ",TOKO ERNI,,,,
197,05/06/26,DAUN BAWANG,  4.50 ,Kg," Rp 70,000 "," Rp 15,556 ",,,,,,"  100,000 ",BENSIN TCO,,,,
198,05/06/26,JERUK NIPIS,  1.00 ,Kg," Rp 20,000 "," Rp 20,000 ",,,,,,"  252,000 ",TCO,,,,
199,05/06/26,KANTONG PLASTIK PUTIH SIZE 35,  3.00 ,Pack," Rp 69,000 "," Rp 23,000 ",,,,,,"  202,000 ",TCL,,,,
200,05/06/26,KANTONG PLASTIK T CUP GELAS,  1.00 ,Pack," Rp 7,000 "," Rp 7,000 ",,,,,,"  35,000 ",BENSIN  MOTOR,,,,
201,05/06/26,KOL PUTIH,  4.00 ,Kg," Rp 30,000 "," Rp 7,500 ",,,,,,"  19,000 ",PARKIR,,,,
202,05/06/26,KOL UNGU,  2.00 ,Kg," Rp 70,000 "," Rp 35,000 ",,,,,,"  30,000 ",KULI,,,,
203,05/06/26,LEMON IMPORT,  0.50 ,Kg," Rp 30,000 "," Rp 60,000 ",,,,,,,,,,,
204,05/06/26,LEMON LOKAL CALIFORNIA,  2.00 ,Kg," Rp 25,000 "," Rp 12,500 ",,,,,"  1,500,000 ","  2,040,000 ","  -540,000 ",UANG BAGJA√  ,,,
205,05/06/26,PLASTIK WRAPPING MAKANAN UK 40x500CM,  1.00 ,Pack," Rp 185,000 "," Rp 185,000 ",,,,,,,,,,,
206,05/06/26,POPOHAN,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,RIFAI,"  150,000 ",BENSIN,,,,
207,05/06/26,BAWANG MERAH BESAR,  1.00 ,Kg," Rp 55,000 "," Rp 55,000 ",,,,,,"  102,000 ",E-TOLL,,,,
208,05/06/26,CABAI RAWIT MERAH,  0.50 ,Kg," Rp 40,000 "," Rp 80,000 ",,,,,,,,,,,
209,05/06/26,CABAI MERAH KERITING,  0.50 ,Kg," Rp 21,000 "," Rp 42,000 ",,,,,"  252,000 ","  252,000 ",  - ,,,,
210,05/06/26,TIMUN,  1.00 ,Kg," Rp 8,000 "," Rp 8,000 ",,,,,,,,,,,
211,05/06/26,WORTEL BERASTAGI,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,,,,,,,
212,05/06/26,RAGI INSTAN @500GR,  2.00 ,Pack," Rp 110,000 "," Rp 55,000 ",,,,,PAK IFAN,"  100,000 ",BENSIN,,,,
213,05/06/26,LENGKOAS,  0.50 ,Kg," Rp 5,000 "," Rp 10,000 ",,,,,,"  102,000 ",E-TOLL,,,,
214,05/06/26,BAWANG BOMBAY,  19.00 ,Kg," Rp 290,000 "," Rp 15,263 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
215,05/06/26,BAWANG PUTIH KUPAS,  0.50 ,Kg," Rp 17,000 "," Rp 34,000 ",TOKO ERNI,BAGJA CASH,,,"  202,000 ","  202,000 ",  - ,,,,
216,05/06/26,KACANG MEDE ,  0.50 ,Kg," Rp 85,000 "," Rp 170,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
217,05/06/26,ROYCO AYAM @1KG,  1.00 ,Pack," Rp 40,000 "," Rp 40,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
218,05/06/26,KENTANG DIENG AL (1-4 PCS) ,  30.00 ,Kg," Rp 540,000 "," Rp 18,000 ",SUMINTO,TRANSFER,,,,,,,,,
219,05/06/26,BAWANG MERAH KUPAS,  120.00 ,Kg," Rp 6,600,000 "," Rp 55,000 ",KEVIN,TRANSFER,06-Jun,,,,,,,,
220,05/06/26,CABAI MERAH KERITING PETIK,  122.00 ,Kg," Rp 6,710,000 "," Rp 55,000 ",PESEK,TRANSFER,09-Jun,,,,,,,,
221,05/06/26,DAUN BAWANG,  114.80 ,Kg," Rp 1,435,000 "," Rp 12,500 ",AA DADI,TRANSFER,11-Jun,,,,,,,,
222,05/06/26,BABY BUNCIS,  95.00 ,Kg," Rp 1,900,000 "," Rp 20,000 ",AA ALAN,TRANSFER,12-Jun,,  5 ,,,,,,
223,05/06/26,JAMUR CHAMPIGNON,  18.00 ,Kg," Rp 648,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,05-Jun,,,,,,,,
224,05/06/26,VANILLA TOPIECO@100ML,  1.00 ,Pack," Rp 48,500 "," Rp 48,500 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
225,05/06/26,KANTONG PLASTIK PEX BAWANG UK 30,  3.00 ,Pack," Rp 59,700 "," Rp 19,900 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
226,05/06/26,MINYAK BARCO @1LTR,  2.00 ,Pack," Rp 121,908 "," Rp 60,954 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
227,05/06/26,SUSU KENTAL MANIS COKLAT ENAK @370GR,  48.00 ,Can," Rp 703,000 "," Rp 14,646 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
228,05/06/26,TAHU WALIK ISI 10 PCS,  30.00 ,Pack," Rp 513,250 "," Rp 17,108 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
229,05/06/26,COCA-COLA ORIGINAL @250ML ISI 24CAN,  1.00 ,Ctn," Rp 193,200 "," Rp 193,200 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
230,05/06/26,A&W SODA SARSAPILA@250 ML ISI 24 CAN,  1.00 ,Ctn," Rp 161,164 "," Rp 161,164 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
231,05/06/26,BAKSO DAGING SAPI WARISAN @50PCS,  10.00 ,Pack," Rp 320,000 "," Rp 32,000 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
232,05/06/26,SOSIS KIMBO ISI 25 PCS,  20.00 ,Pack," Rp 660,000 "," Rp 33,000 ",SHOPEE,TRANSFER,05-Jun,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,
233,06/06/26,BABY PAKCOY,  5.00 ,Kg," Rp 75,000 "," Rp 15,000 ",,,,,BAGJA,"  688,500 ",PASAR,,,,
234,06/06/26,BAWANG MERAH BESAR,  5.00 ,Kg," Rp 240,000 "," Rp 48,000 ",,,,,,"  1,248,000 ",TOKO ERNI,,,,
235,06/06/26,TOMAT MERAH,  7.00 ,Kg," Rp 126,000 "," Rp 18,000 ",,,,,,"  750,000 ",BULE,,,,
236,06/06/26,TOMATO BEEF,  1.00 ,Kg," Rp 35,000 "," Rp 35,000 ",,,,,,"  100,000 ",BENSIN TCO,,,,
237,06/06/26,LEMON LOKAL CALIFORNIA,  1.00 ,Kg," Rp 12,500 "," Rp 12,500 ",,,,,,"  33,920 ",BENSIN MOTOR BAGJA,,,,
238,06/06/26,JAMUR CHAMPIGNON,  5.00 ,Kg," Rp 200,000 "," Rp 40,000 ",,,,,,"  15,000 ",PARKIR,,,,
239,06/06/26,BAWANG BOMBAY,  38.00 ,Kg," Rp 590,000 "," Rp 15,526 ",TOKO ERNI,BAGJA CASH,,,,"  152,000 ",TCO,,,,
240,06/06/26,BAWANG PUTIH KUPAS,  2.50 ,Kg," Rp 90,000 "," Rp 36,000 ",TOKO ERNI,BAGJA CASH,,,,"  302,000 ",TCL,,,,
241,06/06/26,GULA BATU PUTIH @500GR ,  5.00 ,Kg," Rp 90,000 "," Rp 18,000 ",TOKO ERNI,BAGJA CASH,,,,"  30,000 ",KULI,,,,
242,06/06/26,MINYAK SANIA BIB @18LTR,  1.00 ,Ctn," Rp 415,000 "," Rp 415,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
243,06/06/26,RAGI INSTAN FERMIPAN @11GR ISI 4 PCS,  3.00 ,Pack," Rp 63,000 "," Rp 21,000 ",TOKO ERNI,BAGJA CASH,,,"  2,500,000 ","  3,319,420 ","  -819,420 ",UANG BAGJA√  ,,,
244,06/06/26,HEAD LETTUCE,  25.00 ,Kg," Rp 750,000 "," Rp 30,000 ",BULE,BAGJA CASH,,,,,,,,,
245,06/06/26,BAWANG MERAH KUPAS,  105.00 ,Kg," Rp 5,775,000 "," Rp 55,000 ",KEVIN,TRANSFER,06-Jun,,RIFAI,"  150,000 ",BENSIN,,PAK IFAN,"  50,000 ",BENSIN
246,06/06/26,CABAI MERAH KERITING PETIK,  125.00 ,Kg," Rp 6,875,000 "," Rp 55,000 ",PESEK,TRANSFER,09-Jun,,,"  152,000 ",E-TOLL,,,"  102,000 ",E-TOLL
247,06/06/26,BONELESS PAHA AYAM NO SKIN,  30.00 ,Kg," Rp 1,290,000 "," Rp 43,000 ",LESTARI,TRANSFER,05-Jun,,,,,,,,
248,06/06/26,TELUR AYAM NEGERI (OMEGA) ,  15.00 ,Kg," Rp 405,000 "," Rp 27,000 ",SAFIRA,TRANSFER,06-Jun,,"302,000 DARI BAGJA",,,,"  152,000 ","  152,000 ",  - 
249,06/06/26,CIRENG BRECXELLE ISI 20 PCS,  30.00 ,Pack," Rp 405,395 "," Rp 13,513 ",SHOPEE,TRANSFER,06-Jun,,"52,000 TRF KANTOR",,,,,,
250,06/06/26,SUNLIGHT @4.5LTR,  4.00 ,Jrg," Rp 367,684 "," Rp 91,921 ",TOKOPEDIA,TRANSFER,06-Jun,,"  354,000 ","  302,000 ","  52,000 ",TRF√  ,,,
,,,,,,#DIV/0!,,,,,,,,,,,
251,08/06/26,BAWANG BOMBAY MERAH,  5.00 ,Kg," Rp 175,000 "," Rp 35,000 ",,,,,BAGJA,"  1,007,000 ",PASAR,,,,
252,08/06/26,HEAD LETTUCE ,  7.00 ,Kg," Rp 280,000 "," Rp 40,000 ",,,,,,"  495,000 ",TOKO ERNI,,,,
253,08/06/26,JAHE PUTIH,  1.50 ,Kg," Rp 30,000 "," Rp 20,000 ",,,,,,"  100,000 ",BENSIN TCO,,,,
254,08/06/26,JERUK NIPIS,  0.50 ,Kg," Rp 10,000 "," Rp 20,000 ",,,,,,"  202,000 ",TCO,,,,
255,08/06/26,PAKCOY,  1.00 ,Kg," Rp 12,000 "," Rp 12,000 ",,,,,,"  252,000 ",TCL,,,,
256,08/06/26,PLASTIK TOMAT 15x30 (1Kg),  2.00 ,Pack," Rp 26,000 "," Rp 13,000 ",,,,,,"  35,000 ",MOTOR,,,,
257,08/06/26,THINWALL SAUCE CUP 25ML ,  5.00 ,Pack," Rp 55,000 "," Rp 11,000 ",,,,,,"  30,000 ",KULI,,,,
258,08/06/26,TOMAT MERAH,  7.00 ,Kg," Rp 119,000 "," Rp 17,000 ",,,,,,"  25,000 ",PARKIR,,,,
259,08/06/26,TOMATO BEEF,  1.00 ,Kg," Rp 35,000 "," Rp 35,000 ",,,,,,"  48,000 ",PLASTIK PACKING,,,,
260,08/06/26,POPOHAN,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,,"  48,000 ",PLASTIK PACKING,,,,
261,08/06/26,BAWANG MERAH KUPAS,  5.00 ,Kg," Rp 250,000 "," Rp 50,000 ",,,,,,"  32,000 ",PLASTIK PACKING,,,,
262,08/06/26,BAWANG BOMBAY,  19.00 ,Kg," Rp 290,000 "," Rp 15,263 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
263,08/06/26,BAWANG PUTIH KUPAS,  5.00 ,Kg," Rp 185,000 "," Rp 37,000 ",TOKO ERNI,BAGJA CASH,,,"  1,000,000 ","  2,274,000 ","  -1,274,000 ",UANG BAGJA√  ,,,
264,08/06/26,CABAI MERAH KERING KECIL,  0.25 ,Kg," Rp 20,000 "," Rp 80,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
265,08/06/26,KENTANG DIENG AL (1-4 PCS),  53.00 ,Kg," Rp 954,000 "," Rp 18,000 ",SUMINTO,TRANSFER,,,RIFAI,"  100,000 ",BENSIN,,,,
266,08/06/26,BAWANG PUTIH KUPAS,  167.00 ,Kg," Rp 4,843,000 "," Rp 29,000 ",KEVIN,TRANSFER,15-Jun,,,"  102,000 ",E-TOLL,,,,
267,08/06/26,CABAI MERAH KERITING PETIK,  215.00 ,Kg," Rp 10,105,000 "," Rp 47,000 ",PESEK,TRANSFER,15-Jun,,,,,,,,
268,08/06/26,CABAI MERAH KERITING,  0.25 ,Kg," Rp 13,250 "," Rp 53,000 ",ALDIANSYAH,TRANSFER,,,"  252,000 ","  202,000 ","  50,000 ",TRF√  ,,,
269,08/06/26,CABAI RAWIT MERAH PETIK,  5.00 ,Kg," Rp 400,000 "," Rp 80,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
270,08/06/26,JAMUR CHAMPIGNON,  5.00 ,Kg," Rp 180,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,09-Jun,,PAK IFAN,"  100,000 ",BENSIN,,,,
271,08/06/26,MC CHAIN SPIRAL TWISTER CURLY FRIES @1.8KG,  7.00 ,Pack," Rp 1,086,300 "," Rp 155,186 ",SHOPEE,TRANSFER,08-Jun,,,"  102,000 ",E-TOLL,,,,
272,08/06/26,MC CHAIN SPIRAL TWISTER CURLY FRIES @1.8KG,  8.00 ,Pack," Rp 1,355,200 "," Rp 169,400 ",SHOPEE,TRANSFER,08-Jun,,,,,,,,
273,08/06/26,KENTANG AVIKO SHOESTRING @2.5KG,  7.00 ,Pack," Rp 536,000 "," Rp 76,571 ",SHOPEE,TRANSFER,08-Jun,,"  202,000 ","  202,000 ",  - ,,,,
274,08/06/26,KENTANG AVIKO SHOESTRING @2.5KG,  8.00 ,Pack," Rp 612,000 "," Rp 76,500 ",SHOPEE,TRANSFER,08-Jun,,,,,,,,
275,08/06/26,SUSU SUNBAY EVAPORATED MILK @380 ML,  10.00 ,Can," Rp 162,200 "," Rp 16,220 ",SHOPEE,TRANSFER,08-Jun,,,,,,,,
276,08/06/26,BABY BUNCIS,  85.00 ,Kg," Rp 1,700,000 "," Rp 20,000 ",AA ALAN,TRANSFER,,,  20 ,,,,,,
,,,,,,#DIV/0!,,,,,BAGJA,"  2,086,300 ",PASAR,,,,
277,09/06/26,BABY PAKCOY,  5.00 ,Kg," Rp 50,000 "," Rp 10,000 ",,,,,,"  1,467,000 ",TOKO ERNI,,,,
278,09/06/26,BERAS SETRA RAMOS - PREMIUM @5KG ,  1.00 ,Krg," Rp 90,000 "," Rp 90,000 ",,,,,,"  252,000 ",TCO,,,,
279,09/06/26,DAGING SENGKEL SAPI ,  2.00 ,Kg," Rp 300,000 "," Rp 150,000 ",,,,,,"  202,000 ",TCL,,,,
280,09/06/26,DAUN PANDAN,  0.50 ,Kg," Rp 10,000 "," Rp 20,000 ",,,,,,"  47,000 ",BENSIN  MOTOR,,,,
281,09/06/26,HEAD LETTUCE,  2.70 ,Kg," Rp 108,000 "," Rp 40,000 ",,,,,,"  30,000 ",PARKIR,,,,
282,09/06/26,JERUK NIPIS,  1.00 ,Kg," Rp 22,000 "," Rp 22,000 ",,,,,,"  30,000 ",KULI,,,,
283,09/06/26,JERUK SUNKIST,  5.00 ,Kg," Rp 175,000 "," Rp 35,000 ",,,,,,"  100,000 ",BENSIN TCO,,,,
284,09/06/26,LOBAK,  1.00 ,Kg," Rp 10,000 "," Rp 10,000 ",,,,,,,,,,,
285,09/06/26,PAKCOY,  3.00 ,Kg," Rp 30,000 "," Rp 10,000 ",,,,,"  2,500,000 ","  4,214,300 ","  -1,714,300 ",UANG BAGJA√  ,,,
286,09/06/26,SEMANGKA MERAH,  13.10 ,Kg," Rp 156,000 "," Rp 11,908 ",,,,,,,,,,,
287,09/06/26,STRAWBERRY @250GR,  3.00 ,Pack," Rp 30,000 "," Rp 10,000 ",,,,,,,,,,,
288,09/06/26,TOMAT MERAH,  1.00 ,Kg," Rp 18,000 "," Rp 18,000 ",,,,,BAGUS,"  108,000 ",GOLDENFILL CHOCO CRUNCHY 2 PACK,,,,
289,09/06/26,TOMATO BEEF,  4.00 ,Kg," Rp 140,000 "," Rp 35,000 ",,,,,,"  35,000 ",ONGKIR LALAMOVE LESTARI 9JUNI'26,,,,
290,09/06/26,JAMUR CHAMPIGNON,  9.00 ,Kg," Rp 360,000 "," Rp 40,000 ",,,,,,"  2,000 ",PARKIR,,,,
291,09/06/26,KANTONG PLASTIK PUTIH SIZE 35,  3.00 ,Pack," Rp 69,000 "," Rp 23,000 ",,,,,,,,,,,
292,09/06/26,PLASTIK SAMPAH HITAM HD 90X120 ,  2.00 ,Pack," Rp 22,000 "," Rp 11,000 ",,,,,"  300,000 ","  145,000 ","  155,000 ",CASH√  ,,,
293,09/06/26,STELLA REFIL @400ML,  1.00 ,Pcs," Rp 41,300 "," Rp 41,300 ",,,,,,,,,,,
294,09/06/26,BAWANG BOMBAY MERAH,  1.00 ,Kg," Rp 35,000 "," Rp 35,000 ",,,,,HILMAN,"  87,000 ",BERAS SETRA RAMOS 1 KRG,,,,
295,09/06/26,BROKOLI,  1.00 ,Kg," Rp 30,000 "," Rp 30,000 ",,,,,,"  3,000 ",PARKIR,,,,
296,09/06/26,BASIL,  0.10 ,Kg," Rp 15,000 "," Rp 150,000 ",,,,,,,,,,,
297,09/06/26,BAWANG MERAH KUPAS,  7.50 ,Kg," Rp 375,000 "," Rp 50,000 ",,,,,"  90,000 ","  90,000 ",  - ,,,,
298,09/06/26,BAKING POWDER @45GR KOEPOE2,  12.00 ,Kg," Rp 80,000 "," Rp 6,667 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
299,09/06/26,BAWANG PUTIH KUPAS,  5.00 ,Kg," Rp 185,000 "," Rp 37,000 ",TOKO ERNI,BAGJA CASH,,,RIFAI,"  150,000 ",BENSIN,,,,
300,09/06/26,CUKA DIXIE @650ML ,  1.00 ,Kg," Rp 17,000 "," Rp 17,000 ",TOKO ERNI,BAGJA CASH,,,,"  102,000 ",E-TOLL,,,,
301,09/06/26,DELMONTE TOMAT SACHET @8GR ISI 24 PCS,  2.00 ,Pack," Rp 14,000 "," Rp 7,000 ",TOKO ERNI,BAGJA CASH,,,,"  5,000 ",PARKIR,,,,
302,09/06/26,DIAMOND UHT MILK PLAIN @1LT,  6.00 ,Pack," Rp 132,000 "," Rp 22,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
303,09/06/26,KACANG TANAH KULIT ARI,  0.50 ,Kg," Rp 18,000 "," Rp 36,000 ",TOKO ERNI,BAGJA CASH,,,"  252,000 ","  257,000 ","  -5,000 ",UANG RIFAI√  ,,,
304,09/06/26,TEPUNG CAKRA KEMBAR @25KG ,  1.00 ,Krg," Rp 240,000 "," Rp 240,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
305,09/06/26,TEPUNG SEGITIGA BIRU @25 KG,  1.00 ,Krg," Rp 230,000 "," Rp 230,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
306,09/06/26,DELMONTE CHILI EXTRA HOT SACHET @8GR @24 PCS ,  40.00 ,Pack," Rp 290,000 "," Rp 7,250 ",TOKO ERNI,BAGJA CASH,,,PAK IFAN,"  100,000 ",BENSIN,,,,
307,09/06/26,BAWANG PUTIH KUPAS,  0.90 ,Kg," Rp 34,000 "," Rp 37,778 ",TOKO ERNI,BAGJA CASH,,,,"  102,000 ",E-TOLL,,,,
308,09/06/26,SASA TEPUNG KENTUCKY @850GR,  4.00 ,Pack," Rp 92,000 "," Rp 23,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
309,09/06/26,KNORR CHICKEN @1KG,  1.00 ,Pack," Rp 95,000 "," Rp 95,000 ",TOKO ERNI,BAGJA CASH,,,"  202,000 ","  202,000 ",  - ,,,,
310,09/06/26,CABAI MERAH KERING BESAR,  0.50 ,Kg," Rp 40,000 "," Rp 80,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
311,09/06/26,KENTANG DIENG AL (1-4 PCS) ,  5.00 ,Kg," Rp 90,000 "," Rp 18,000 ",SUMINTO,TRANSFER,,,,,,,,,
312,09/06/26,BAWANG PUTIH KUPAS,  165.00 ,Kg," Rp 4,785,000 "," Rp 29,000 ",KEVIN,TRANSFER,15-Jun,,,,,,,,
313,09/06/26,TELUR AYAM NEGERI (OMEGA) ,  15.00 ,Kg," Rp 405,000 "," Rp 27,000 ",SAFIRA,TRANSFER,09-Jun,,,,,,,,
314,09/06/26,JAMUR CHAMPIGNON,  14.00 ,Kg," Rp 504,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,09-Jun,,,,,,,,
315,09/06/26,BONELESS PAHA AYAM NO SKIN,  25.00 ,Kg," Rp 1,000,000 "," Rp 40,000 ",LESTARI,TRANSFER,08-Jun,,,,,,,,
316,09/06/26,SAYAP AYAM ,  10.00 ,Kg," Rp 290,000 "," Rp 29,000 ",LESTARI,TRANSFER,08-Jun,,,,,,,,
