REKAP BELANJA DISMA JUNI 2026,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,TANGGAL,NAMA BARANG,QUANTITY,,HARGA TOTAL,HARGA SATUAN,SUPPLIER,PAYMENT,TGL BAYAR,INV,,,,,,,
38,01/06/26,MAESTRO MUSTARD @1KG,  5.00 ,Pack," Rp 339,700 "," Rp 67,940 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
39,01/06/26,TISSUE LIVI MULTIFOLD,  24.00 ,Pack," Rp 187,599 "," Rp 7,817 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
40,01/06/26,TISSUE LIVI KOTAK @150 LBR,  60.00 ,Pack," Rp 207,690 "," Rp 3,462 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
41,01/06/26,TISSUE PLENTY KITCHEN TOWEL ROLLS @2PCS,  24.00 ,Pack," Rp 327,200 "," Rp 13,633 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
42,01/06/26,SAGU TANI LIAUW LIONG PIT @1KG,  10.00 ,Pack," Rp 339,800 "," Rp 33,980 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
43,01/06/26,SUMPIT BAMBU @50PCS,  50.00 ,Pack," Rp 346,951 "," Rp 6,939 ",SHOPEE,TRANSFER,01-Jun,,,,,,,,
44,01/06/26,GOLDENFILL CHOCOCRUNCHY@1KG,  1.00 ,Pack," Rp 54,000 "," Rp 54,000 ",BAKING LAND,BAGUS CASH,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,
45,02/06/26,AYAM UTUH KRAKAS,  2.00 ,Kg," Rp 70,000 "," Rp 35,000 ",,,,,BAGJA,"  1,925,000 ",PASAR,,,,
46,02/06/26,BABY PAKCOY,  2.00 ,Kg," Rp 30,000 "," Rp 15,000 ",,,,,,"  2,946,000 ",TOKO ERNI,,,,
47,02/06/26,BABY ROMAIN LETTUCE,  0.50 ,Kg," Rp 15,000 "," Rp 30,000 ",,,,,,"  48,000 ",PLASTIK PACKING BUNCIS 5 KG,,,,
48,02/06/26,BASIL,  0.70 ,Kg," Rp 70,000 "," Rp 100,000 ",,,,,,"  48,000 ",PLASTIK PACKING BUNCIS 10 KG,,,,
49,02/06/26,BAWANG BOMBAY MERAH,  11.00 ,Kg," Rp 330,000 "," Rp 30,000 ",,,,,,"  16,000 ",PLASTIK PACKING,,,,
50,02/06/26,BAWANG MERAH KUPAS,  2.00 ,Kg," Rp 116,000 "," Rp 58,000 ",,,,,,"  305,000 ",TCL,,,,
51,02/06/26,DAUN BAWANG,  0.10 ,Kg," Rp 2,000 "," Rp 20,000 ",,,,,,"  202,000 ",TCO,,,,
52,02/06/26,DAUN JERUK,  0.20 ,Kg," Rp 16,000 "," Rp 80,000 ",,,,,,"  35,000 ",MOTOR,,,,
53,02/06/26,DAUN PISANG,  3.00 ,Kg," Rp 24,000 "," Rp 8,000 ",,,,,,"  93,000 ",LALAMOVE BELANJAAN CIKINI,,,,
54,02/06/26,DAUN SALAM ,  0.10 ,Kg," Rp 2,000 "," Rp 20,000 ",,,,,,"  30,000 ",KULI,,,,
55,02/06/26,KOL PUTIH,  3.00 ,Kg," Rp 25,000 "," Rp 8,333 ",,,,,,"  30,000 ",PARKIR,,,,
56,02/06/26,LEMON LOKAL CALIFORNIA ,  12.00 ,Kg," Rp 300,000 "," Rp 25,000 ",,,,,,"  30,000 ",BENSIN BAGJA,,,,
57,02/06/26,LENGKOAS,  1.00 ,Kg," Rp 18,000 "," Rp 18,000 ",,,,,,,,,,,
58,02/06/26,LOBAK,  0.50 ,Kg," Rp 8,000 "," Rp 16,000 ",,,,,"  6,000,000 ","  5,708,000 ","  292,000 ",TRF√  ,,,
59,02/06/26,PAPRIKA HIJAU,  1.00 ,Kg," Rp 70,000 "," Rp 70,000 ",,,,,,,,,,,
60,02/06/26,RAGI INSTAN FERMIPAN @500GR,  1.00 ,Pack," Rp 55,000 "," Rp 55,000 ",,,,,PAK IFAN,"  100,000 ",BENSIN,,,,
61,02/06/26,SANTAN KELAPA,  6.00 ,Ltr," Rp 78,000 "," Rp 13,000 ",,,,,,"  102,000 ",E-TOLL,,,,
62,02/06/26,SEREH,  1.50 ,Kg," Rp 27,000 "," Rp 18,000 ",,,,,,"  60,000 ",BAWANG MERAH KUPAS 1 KG,,,,
63,02/06/26,TOMAT MERAH,  2.00 ,Kg," Rp 30,000 "," Rp 15,000 ",,,,,,"  25,000 ",GOJEK,,,,
64,02/06/26,WORTEL BABY,  0.50 ,Kg," Rp 9,000 "," Rp 18,000 ",,,,,,"  5,000 ",PARKIR,,,,
65,02/06/26,WORTEL BERASTAGI,  2.00 ,Kg," Rp 30,000 "," Rp 15,000 ",,,,,,,,,,,
66,02/06/26,DAGING SENGKEL SAPI,  4.00 ,Kg," Rp 600,000 "," Rp 150,000 ",,,,,"202,000 DARI BAGJA",,,,,,
67,02/06/26,ABC KECAP MANIS,  1.00 ,Jrg," Rp 155,000 "," Rp 155,000 ",TOKO ERNI,BAGJA CASH,,,"100,000 TRF KANTOR",,,,,,
68,02/06/26,AJINOMOTO @1000GR,  12.00 ,Pack," Rp 535,000 "," Rp 44,583 ",TOKO ERNI,BAGJA CASH,,,"  302,000 ","  292,000 ","  10,000 ",CASH√  ,,,
69,02/06/26,BAWANG BOMBAY,  19.00 ,Kg," Rp 320,000 "," Rp 16,842 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
70,02/06/26,BAWANG PUTIH KUPAS,  15.00 ,Kg," Rp 420,000 "," Rp 28,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
71,02/06/26,EBI DAGING TANPA KULIT,  0.13 ,Kg," Rp 15,000 "," Rp 120,000 ",TOKO ERNI,BAGJA CASH,,,RIFAI,"  150,000 ",BENSIN,,,,
72,02/06/26,GULA BATU PUTIH @500GR ,  5.00 ,Pack," Rp 75,000 "," Rp 15,000 ",TOKO ERNI,BAGJA CASH,,,,"  152,000 ",E-TOLL,,,,
73,02/06/26,KECAP ASIN HATI ANGSA @600ML ,  12.00 ,Btl," Rp 225,000 "," Rp 18,750 ",TOKO ERNI,BAGJA CASH,,,,"  6,000 ",PARKIR,,,,
74,02/06/26,KEMIRI,  2.50 ,Kg," Rp 110,000 "," Rp 44,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
75,02/06/26,LADA PUTIH HALUS @250GR,  4.00 ,Pack," Rp 160,000 "," Rp 40,000 ",TOKO ERNI,BAGJA CASH,,,"  302,000 ","  308,000 ","  -6,000 ",UANG RIFAI√  ,,,
76,02/06/26,LEE KUM KEE KECAP HITAM DARK SOY @500 ML ,  1.00 ,Btl," Rp 40,000 "," Rp 40,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
77,02/06/26,LEE KUM KEE SAUS TIRAM 2.2KG,  2.00 ,Can," Rp 220,000 "," Rp 110,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
78,02/06/26,MAIZENAKU @1 KG,  3.00 ,Pack," Rp 66,000 "," Rp 22,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
79,02/06/26,MINYAK WIJEN OH GUAN HING @600ML,  6.00 ,Btl," Rp 258,000 "," Rp 43,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
80,02/06/26,ROYCO AYAM @1KG,  3.00 ,Pack," Rp 120,000 "," Rp 40,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
81,02/06/26,SODA KUE KOEPOE2 @1KG,  1.00 ,Pack," Rp 45,000 "," Rp 45,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
82,02/06/26,TEPUNG CAKRA KEMBAR @1KG,  3.00 ,Krg," Rp 42,000 "," Rp 14,000 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
83,02/06/26,TEPUNG SEGITIGA BIRU @1 KG,  12.00 ,Pack," Rp 140,000 "," Rp 11,667 ",TOKO ERNI,BAGJA CASH,,,,,,,,,
84,02/06/26,KENTANG DIENG AL (1-4 PCS),  65.00 ,Kg," Rp 1,105,000 "," Rp 17,000 ",SUMINTO,TRANSFER,,,,,,,,,
85,02/06/26,BAWANG MERAH KUPAS,  120.00 ,Kg," Rp 6,600,000 "," Rp 55,000 ",KEVIN,TRANSFER,06-Jun,,,,,,,,
86,02/06/26,DAUN BAWANG,  110.00 ,Kg," Rp 1,375,000 "," Rp 12,500 ",AA DADI,TRANSFER,04-Jun,,,,,,,,
87,02/06/26,CABAI MERAH KERITING PETIK,  152.00 ,Kg," Rp 8,360,000 "," Rp 55,000 ",PESEK,TRANSFER,09-Jun,,,,,,,,
88,02/06/26,JAMUR CHAMPIGNON,  31.00 ,Kg," Rp 1,116,000 "," Rp 36,000 ",DELTAFOOD,TRANSFER,02-Jun,,,,,,,,
89,02/06/26,CABAI HIJAU BESAR PETIK,  5.00 ,Kg," Rp 165,000 "," Rp 33,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
90,02/06/26,CABAI MERAH BESAR PETIK,  8.00 ,Kg," Rp 720,000 "," Rp 90,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
91,02/06/26,CABAI MERAH KERITING PETIK,  6.00 ,Kg," Rp 450,000 "," Rp 75,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
92,02/06/26,CABAI RAWIT MERAH PETIK,  15.00 ,Kg," Rp 1,425,000 "," Rp 95,000 ",ALDIANSYAH,TRANSFER,,,,,,,,,
93,02/06/26,TELUR AYAM NEGERI,  15.00 ,Kg," Rp 370,000 "," Rp 24,667 ",SAFIRA,TRANSFER,02-Jun,,,,,,,,
94,02/06/26,BUMBU MALA HOT POT KOKI JEMPOL@1KG,  1.00 ,Pack," Rp 124,085 "," Rp 124,085 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
95,02/06/26,MAMASUKA MAYONAISE @1KG,  10.00 ,Pack," Rp 517,000 "," Rp 51,700 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
96,02/06/26,GULAKU @1 KG,  48.00 ,Pack," Rp 950,000 "," Rp 19,792 ",MITRA KIRIM,TRANSFER,02-Jun,,,,,,,,
97,02/06/26,MINYAK FILMA BIB @18LTR,  1.00 ,Ctn," Rp 440,000 "," Rp 440,000 ",MITRA KIRIM,TRANSFER,02-Jun,,,,,,,,
98,02/06/26,MAPLE JOE @250GR,  4.00 ,Btl," Rp 492,000 "," Rp 123,000 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
99,02/06/26,SIRUP DRIPP PANDAN @760ML,  2.00 ,Btl," Rp 222,450 "," Rp 111,225 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
100,02/06/26,CIRENG BRECXELLE ISI 20 PCS,  30.00 ,Pack," Rp 467,827 "," Rp 15,594 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
101,02/06/26,MC CHAIN SPIRAL TWISTER CURLY FRIES @1.8KG,  7.00 ,Pack," Rp 1,186,300 "," Rp 169,471 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
102,02/06/26,MC CHAIN SPIRAL TWISTER CURLY FRIES @1.8KG,  8.00 ,Pack," Rp 1,355,200 "," Rp 169,400 ",SHOPEE,TRANSFER,02-Jun,,,,,,,,
103,02/06/26,BAWANG MERAH KUPAS,  1.00 ,Kg," Rp 60,000 "," Rp 60,000 ",PASAR,PAK IFAN CASH,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,
104,03/06/26,AYAM UTUH KRAKAS,  2.00 ,Kg," Rp 90,000 "," Rp 45,000 ",,,,,BAGJA,"  1,381,000 ",PASAR,,,,
105,03/06/26,BABY ROMAIN LETTUCE,  0.50 ,Kg," Rp 20,000 "," Rp 40,000 ",,,,,,"  2,344,000 ",TOKO ERNI,,,,
106,03/06/26,BASIL,  1.50 ,Kg," Rp 75,000 "," Rp 50,000 ",,,,,,"  252,000 ",TCO,,,,
107,03/06/26,BERAS SETRA RAMOS - PREMIUM @5KG,  1.00 ,Krg," Rp 90,000 "," Rp 90,000 ",,,,,,"  202,000 ",TCL,,,,
108,03/06/26,HEINZ CUKA PUTIH @473ML,  1.00 ,Pack," Rp 37,000 "," Rp 37,000 ",,,,,,"  35,000 ",BENSIN MOTOR,,,,
109,03/06/26,JERUK NIPIS,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,,"  100,000 ",BENSIN TCO,,,,
110,03/06/26,JERUK SUNKIST,  2.50 ,Kg," Rp 88,000 "," Rp 35,200 ",,,,,,"  30,000 ",KULI,,,,
111,03/06/26,KANTONG PLASTIK PUTIH SIZE 35,  3.00 ,Pack," Rp 66,000 "," Rp 22,000 ",,,,,,"  29,000 ",PARKIR,,,,
112,03/06/26,KANTONG PLASTIK PUTIH UK 40 @500GR,  5.00 ,Pack," Rp 110,000 "," Rp 22,000 ",,,,,,,,,,,
113,03/06/26,PAKCOY,  1.00 ,Kg," Rp 15,000 "," Rp 15,000 ",,,,,"  3,500,000 ","  4,373,000 ","  -873,000 ",UANG BAGJA√  ,,,
114,03/06/26,PLASTIK SAMPAH HITAM HD 90X120 ,  1.00 ,Pack," Rp 11,000 "," Rp 11,000 ",,,,,,,,,,,
115,03/06/26,POPOHAN,  4.50 ,Kg," Rp 60,000 "," Rp 13,333 ",,,,,RIFAI,"  100,000 ",BENSIN,,,,
116,03/06/26,STRAWBERRY @250GR,  3.00 ,Pack," Rp 72,000 "," Rp 24,000 ",,,,,,"  152,000 ",E-TOLL,,,,
117,03/06/26,THINWALL SAUCE CUP 25ML ,  2.00 ,Pack," Rp 22,000 "," Rp 11,000 ",,,,,,"  6,000 ",PARKIR,,,,
118,03/06/26,THINWALL SAUCE CUP 35ML,  3.00 ,Pack," Rp 42,000 "," Rp 14,000 ",,,,,,,,,,,
